date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:35	368/368	---M-Z	200	added ('OK')	text/plain	etag:W/%22407-19092529ddd%22	https://www.internetodontologi.se/robots.txt		(from )
13:58:35	40616/40616	---M-Z	200	added ('OK')	text/html	etag:W/%229ea8-4k3TR8z8vs9q4CCQlg8mo9s/1B4%22	https://www.internetodontologi.se/	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/index.html	(from )
13:58:36	76829/76829	---M-Z	200	added ('OK')	text/css	etag:W/%2212c1d-19092529f99%22	https://www.internetodontologi.se/assets/built/screen.css?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/assets/built/screen419f.css	(from https://www.internetodontologi.se/)
13:58:36	52282/52282	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cc3a-19092529f28%22	https://www.internetodontologi.se/assets/built/casper.js?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/assets/built/casper419f.js	(from https://www.internetodontologi.se/)
13:58:36	56/56	---M-Z	200	added ('OK')	text/css	etag:W/%2238-19092529f83%22	https://www.internetodontologi.se/assets/built/print.css?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/assets/built/print419f.css	(from https://www.internetodontologi.se/)
13:58:36	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/internetodontologi/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.internetodontologi.se/)
13:58:36	3244/3244	---M--	200	added ('OK')	image/png	etag:W/%22cac-18ab91bfde4%22	https://www.internetodontologi.se/content/images/size/w256h256/format/png/2023/09/IO-ny-sajt-logo-2-1.webp	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/content/images/size/w256h256/format/png/2023/09/IO-ny-sajt-logo-2-1.png	(from https://www.internetodontologi.se/)
13:58:37	25371/25371	---M--	200	added ('OK')	image/png	etag:W/%22631b-18d0c704ff2%22	https://www.internetodontologi.se/content/images/2024/01/IO-icon-png.png	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/content/images/2024/01/IO-icon-png.png	(from https://www.internetodontologi.se/)
13:58:37	36682/36682	---M-Z	200	added ('OK')	text/html	etag:W/%228f4a-yvfsdqtc43/weFo4kkjaEsF5tW8%22	https://www.internetodontologi.se/page/2/	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/page/2/index.html	(from https://www.internetodontologi.se/)
13:58:37	9150/9150	---M--	200	added ('OK')	image/jpeg	etag:W/%2223be-18ab91b38a3%22	https://www.internetodontologi.se/content/images/2023/09/Banner2.jpg	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/content/images/2023/09/Banner2.jpg	(from https://www.internetodontologi.se/)
13:58:37	260367/260367	---M-Z	200	added ('OK')	text/xml	etag:W/%223f90f-xI+ZWm9c4hCMoGLsczwu8NY2PTg%22	https://www.internetodontologi.se/faktablad/rss/	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/faktablad/rss/index.html	(from https://www.internetodontologi.se/)
13:58:37	1134878/1134878	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211511e-NUEbMKSOGe/qBhL8wgWjxrv51sc%22	https://cdn.jsdelivr.net/ghost/portal@~2.37/umd/portal.min.js	C:/My%20Web%20Sites/internetodontologi/cdn.jsdelivr.net/ghost/portal@_2.37/umd/portal.min.js	(from https://www.internetodontologi.se/)
13:58:37	201650/201650	---M-Z	200	added ('OK')	application/javascript	etag:W/%22313b2-PGFkfSo33Bwphw9PaHfsB1kMn/Y%22	https://cdn.jsdelivr.net/ghost/sodo-search@~1.1/umd/sodo-search.min.js	C:/My%20Web%20Sites/internetodontologi/cdn.jsdelivr.net/ghost/sodo-search@_1.1/umd/sodo-search.min.js	(from https://www.internetodontologi.se/)
13:58:38	6743/6743	---M-Z	200	added ('OK')	application/javascript	etag:W/%22431228c753b74a6958600d170f921e6d%22	https://www.internetodontologi.se/public/cards.min.js?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/public/cards.min419f.js	(from https://www.internetodontologi.se/)
13:58:38	15973/15973	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223e65-+nZA32agQ9pi3zbh4RsTIRRIlHI%22	https://www.internetodontologi.se/webmentions/receive/	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/webmentions/receive/index.html	(from https://www.internetodontologi.se/)
13:58:38	39952/39952	---M-Z	200	added ('OK')	text/css	etag:W/%22bab5aee254a903a07ef4673e8e2e18c5%22	https://www.internetodontologi.se/public/cards.min.css?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/public/cards.min419f.css	(from https://www.internetodontologi.se/)
13:58:38	1915/1915	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d3835a893b20615fbdbecc7c556ae8dc%22	https://www.internetodontologi.se/public/member-attribution.min.js?v=460d6bcda5	C:/My%20Web%20Sites/internetodontologi/www.internetodontologi.se/public/member-attribution.min419f.js	(from https://www.internetodontologi.se/)
